date,values,item,store
2020-08-06,76,chicken breast (lb),Store A
2020-08-07,103.5,chicken breast (lb),Store A
2020-08-08,109,chicken breast (lb),Store A
2020-08-09,116.5,chicken breast (lb),Store A
2020-08-10,104,chicken breast (lb),Store A
2020-08-11,98,chicken breast (lb),Store A
2020-08-12,108,chicken breast (lb),Store A
2020-08-13,118,chicken breast (lb),Store A
2020-08-14,112.5,chicken breast (lb),Store A
2020-08-15,113.5,chicken breast (lb),Store A
2020-08-16,124,chicken breast (lb),Store A
2020-08-17,119.5,chicken breast (lb),Store A
2020-08-18,109,chicken breast (lb),Store A
2020-08-19,110,chicken breast (lb),Store A
2020-08-20,109.5,chicken breast (lb),Store A
2020-08-21,103,chicken breast (lb),Store A
2020-08-22,100,chicken breast (lb),Store A
2020-08-23,101.5,chicken breast (lb),Store A
2020-08-24,100,chicken breast (lb),Store A
2020-08-25,109,chicken breast (lb),Store A
2020-08-26,115.5,chicken breast (lb),Store A
2020-08-27,120,chicken breast (lb),Store A
2020-08-28,130,chicken breast (lb),Store A
2020-08-29,112.5,chicken breast (lb),Store A
2020-08-30,109,chicken breast (lb),Store A
2020-08-31,113.5,chicken breast (lb),Store A
2020-09-01,117,chicken breast (lb),Store A
2020-09-02,127.5,chicken breast (lb),Store A
2020-09-03,120,chicken breast (lb),Store A
2020-09-04,103,chicken breast (lb),Store A
2020-09-05,99,chicken breast (lb),Store A
2020-08-06,15.5,garlic (lb),Store A
2020-08-07,18.5,garlic (lb),Store A
2020-08-08,23,garlic (lb),Store A
2020-08-09,27.5,garlic (lb),Store A
2020-08-10,27,garlic (lb),Store A
2020-08-11,21.5,garlic (lb),Store A
2020-08-12,15.5,garlic (lb),Store A
2020-08-13,23,garlic (lb),Store A
2020-08-14,25,garlic (lb),Store A
2020-08-15,22,garlic (lb),Store A
2020-08-16,26.5,garlic (lb),Store A
2020-08-17,25,garlic (lb),Store A
2020-08-18,22.5,garlic (lb),Store A
2020-08-19,22,garlic (lb),Store A
2020-08-20,23.5,garlic (lb),Store A
2020-08-21,22.5,garlic (lb),Store A
2020-08-22,23,garlic (lb),Store A
2020-08-23,27.5,garlic (lb),Store A
2020-08-24,25,garlic (lb),Store A
2020-08-25,23.5,garlic (lb),Store A
2020-08-26,23.5,garlic (lb),Store A
2020-08-27,21.5,garlic (lb),Store A
2020-08-28,25.5,garlic (lb),Store A
2020-08-29,32,garlic (lb),Store A
2020-08-30,33.5,garlic (lb),Store A
2020-08-31,30.5,garlic (lb),Store A
2020-09-01,22,garlic (lb),Store A
2020-09-02,18,garlic (lb),Store A
2020-09-03,21.5,garlic (lb),Store A
2020-09-04,27.5,garlic (lb),Store A
2020-09-05,28,garlic (lb),Store A
2020-08-06,133,Fries (lb),Store A
2020-08-07,182.5,Fries (lb),Store A
2020-08-08,184.5,Fries (lb),Store A
2020-08-09,171.5,Fries (lb),Store A
2020-08-10,172.5,Fries (lb),Store A
2020-08-11,183,Fries (lb),Store A
2020-08-12,191,Fries (lb),Store A
2020-08-13,195.5,Fries (lb),Store A
2020-08-14,187.5,Fries (lb),Store A
2020-08-15,173.5,Fries (lb),Store A
2020-08-16,172,Fries (lb),Store A
2020-08-17,194,Fries (lb),Store A
2020-08-18,189,Fries (lb),Store A
2020-08-19,187.5,Fries (lb),Store A
2020-08-20,198.5,Fries (lb),Store A
2020-08-21,180,Fries (lb),Store A
2020-08-22,194,Fries (lb),Store A
2020-08-23,202.5,Fries (lb),Store A
2020-08-24,209,Fries (lb),Store A
2020-08-25,212,Fries (lb),Store A
2020-08-26,172,Fries (lb),Store A
2020-08-27,175,Fries (lb),Store A
2020-08-28,182,Fries (lb),Store A
2020-08-29,178,Fries (lb),Store A
2020-08-30,187.5,Fries (lb),Store A
2020-08-31,191.5,Fries (lb),Store A
2020-09-01,198.5,Fries (lb),Store A
2020-09-02,200.5,Fries (lb),Store A
2020-09-03,191.5,Fries (lb),Store A
2020-09-04,177.5,Fries (lb),Store A
2020-09-05,172,Fries (lb),Store A
2020-08-06,77.5,Spagetti (lb),Store A
2020-08-07,92.5,Spagetti (lb),Store A
2020-08-08,83,Spagetti (lb),Store A
2020-08-09,80,Spagetti (lb),Store A
2020-08-10,88,Spagetti (lb),Store A
2020-08-11,103,Spagetti (lb),Store A
2020-08-12,90.5,Spagetti (lb),Store A
2020-08-13,90,Spagetti (lb),Store A
2020-08-14,91,Spagetti (lb),Store A
2020-08-15,84,Spagetti (lb),Store A
2020-08-16,87,Spagetti (lb),Store A
2020-08-17,91,Spagetti (lb),Store A
2020-08-18,88.5,Spagetti (lb),Store A
2020-08-19,77.5,Spagetti (lb),Store A
2020-08-20,77,Spagetti (lb),Store A
2020-08-21,80,Spagetti (lb),Store A
2020-08-22,87.5,Spagetti (lb),Store A
2020-08-23,85.5,Spagetti (lb),Store A
2020-08-24,81,Spagetti (lb),Store A
2020-08-25,91.5,Spagetti (lb),Store A
2020-08-26,87,Spagetti (lb),Store A
2020-08-27,81,Spagetti (lb),Store A
2020-08-28,89,Spagetti (lb),Store A
2020-08-29,98,Spagetti (lb),Store A
2020-08-30,95,Spagetti (lb),Store A
2020-08-31,87.5,Spagetti (lb),Store A
2020-09-01,103,Spagetti (lb),Store A
2020-09-02,97.5,Spagetti (lb),Store A
2020-09-03,84,Spagetti (lb),Store A
2020-09-04,91,Spagetti (lb),Store A
2020-09-05,86,Spagetti (lb),Store A
2020-08-06,136.8,chicken breast (lb),Store B
2020-08-07,186.3,chicken breast (lb),Store B
2020-08-08,196.2,chicken breast (lb),Store B
2020-08-09,209.7,chicken breast (lb),Store B
2020-08-10,187.2,chicken breast (lb),Store B
2020-08-11,176.4,chicken breast (lb),Store B
2020-08-12,194.4,chicken breast (lb),Store B
2020-08-13,212.4,chicken breast (lb),Store B
2020-08-14,202.5,chicken breast (lb),Store B
2020-08-15,204.3,chicken breast (lb),Store B
2020-08-16,223.2,chicken breast (lb),Store B
2020-08-17,215.1,chicken breast (lb),Store B
2020-08-18,196.2,chicken breast (lb),Store B
2020-08-19,198,chicken breast (lb),Store B
2020-08-20,197.1,chicken breast (lb),Store B
2020-08-21,185.4,chicken breast (lb),Store B
2020-08-22,180,chicken breast (lb),Store B
2020-08-23,182.7,chicken breast (lb),Store B
2020-08-24,180,chicken breast (lb),Store B
2020-08-25,196.2,chicken breast (lb),Store B
2020-08-26,207.9,chicken breast (lb),Store B
2020-08-27,216,chicken breast (lb),Store B
2020-08-28,234,chicken breast (lb),Store B
2020-08-29,202.5,chicken breast (lb),Store B
2020-08-30,196.2,chicken breast (lb),Store B
2020-08-31,204.3,chicken breast (lb),Store B
2020-09-01,210.6,chicken breast (lb),Store B
2020-09-02,229.5,chicken breast (lb),Store B
2020-09-03,216,chicken breast (lb),Store B
2020-09-04,185.4,chicken breast (lb),Store B
2020-09-05,148.5,chicken breast (lb),Store B
2020-08-06,27.9,garlic (lb),Store B
2020-08-07,33.3,garlic (lb),Store B
2020-08-08,41.4,garlic (lb),Store B
2020-08-09,49.5,garlic (lb),Store B
2020-08-10,48.6,garlic (lb),Store B
2020-08-11,38.7,garlic (lb),Store B
2020-08-12,27.9,garlic (lb),Store B
2020-08-13,41.4,garlic (lb),Store B
2020-08-14,45,garlic (lb),Store B
2020-08-15,39.6,garlic (lb),Store B
2020-08-16,47.7,garlic (lb),Store B
2020-08-17,45,garlic (lb),Store B
2020-08-18,40.5,garlic (lb),Store B
2020-08-19,39.6,garlic (lb),Store B
2020-08-20,42.3,garlic (lb),Store B
2020-08-21,40.5,garlic (lb),Store B
2020-08-22,41.4,garlic (lb),Store B
2020-08-23,49.5,garlic (lb),Store B
2020-08-24,45,garlic (lb),Store B
2020-08-25,42.3,garlic (lb),Store B
2020-08-26,42.3,garlic (lb),Store B
2020-08-27,38.7,garlic (lb),Store B
2020-08-28,45.9,garlic (lb),Store B
2020-08-29,57.6,garlic (lb),Store B
2020-08-30,60.3,garlic (lb),Store B
2020-08-31,54.9,garlic (lb),Store B
2020-09-01,39.6,garlic (lb),Store B
2020-09-02,32.4,garlic (lb),Store B
2020-09-03,38.7,garlic (lb),Store B
2020-09-04,49.5,garlic (lb),Store B
2020-09-05,50.4,garlic (lb),Store B
2020-08-06,239.4,Fries (lb),Store B
2020-08-07,328.5,Fries (lb),Store B
2020-08-08,332.1,Fries (lb),Store B
2020-08-09,308.7,Fries (lb),Store B
2020-08-10,310.5,Fries (lb),Store B
2020-08-11,329.4,Fries (lb),Store B
2020-08-12,343.8,Fries (lb),Store B
2020-08-13,351.9,Fries (lb),Store B
2020-08-14,337.5,Fries (lb),Store B
2020-08-15,312.3,Fries (lb),Store B
2020-08-16,309.6,Fries (lb),Store B
2020-08-17,349.2,Fries (lb),Store B
2020-08-18,340.2,Fries (lb),Store B
2020-08-19,337.5,Fries (lb),Store B
2020-08-20,357.3,Fries (lb),Store B
2020-08-21,324,Fries (lb),Store B
2020-08-22,349.2,Fries (lb),Store B
2020-08-23,364.5,Fries (lb),Store B
2020-08-24,376.2,Fries (lb),Store B
2020-08-25,381.6,Fries (lb),Store B
2020-08-26,309.6,Fries (lb),Store B
2020-08-27,315,Fries (lb),Store B
2020-08-28,327.6,Fries (lb),Store B
2020-08-29,320.4,Fries (lb),Store B
2020-08-30,337.5,Fries (lb),Store B
2020-08-31,344.7,Fries (lb),Store B
2020-09-01,357.3,Fries (lb),Store B
2020-09-02,360.9,Fries (lb),Store B
2020-09-03,344.7,Fries (lb),Store B
2020-09-04,319.5,Fries (lb),Store B
2020-09-05,326.8,Fries (lb),Store B
2020-08-06,139.5,Spagetti (lb),Store B
2020-08-07,166.5,Spagetti (lb),Store B
2020-08-08,149.4,Spagetti (lb),Store B
2020-08-09,144,Spagetti (lb),Store B
2020-08-10,158.4,Spagetti (lb),Store B
2020-08-11,185.4,Spagetti (lb),Store B
2020-08-12,162.9,Spagetti (lb),Store B
2020-08-13,162,Spagetti (lb),Store B
2020-08-14,163.8,Spagetti (lb),Store B
2020-08-15,151.2,Spagetti (lb),Store B
2020-08-16,156.6,Spagetti (lb),Store B
2020-08-17,163.8,Spagetti (lb),Store B
2020-08-18,159.3,Spagetti (lb),Store B
2020-08-19,139.5,Spagetti (lb),Store B
2020-08-20,138.6,Spagetti (lb),Store B
2020-08-21,144,Spagetti (lb),Store B
2020-08-22,157.5,Spagetti (lb),Store B
2020-08-23,153.9,Spagetti (lb),Store B
2020-08-24,145.8,Spagetti (lb),Store B
2020-08-25,164.7,Spagetti (lb),Store B
2020-08-26,156.6,Spagetti (lb),Store B
2020-08-27,145.8,Spagetti (lb),Store B
2020-08-28,160.2,Spagetti (lb),Store B
2020-08-29,176.4,Spagetti (lb),Store B
2020-08-30,171,Spagetti (lb),Store B
2020-08-31,157.5,Spagetti (lb),Store B
2020-09-01,185.4,Spagetti (lb),Store B
2020-09-02,175.5,Spagetti (lb),Store B
2020-09-03,151.2,Spagetti (lb),Store B
2020-09-04,163.8,Spagetti (lb),Store B
2020-09-05,43,Spagetti (lb),Store B
